Time,Focus,FocusReal,Focus Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
2.705025,1.911812,1.911812477,2.844845991,0.1702343,0.1702343,0.1439074,0.1568501,0.1636928,0.3490167,0.3716292,0.1134389,0.09705102,0.212589,0.1052101
2.705258,1.940379,1.940379351,3.205376227,0.1702343,0.1702343,0.1439074,0.1568501,0.1636928,0.3490167,0.3716292,0.1126008,0.09143027,0.212589,0.1052101
2.705475,1.940379,1.940379351,3.205376227,0.1702343,0.1702343,0.1439074,0.1568501,0.1636928,0.3490167,0.3716292,0.1126008,0.09143027,0.2040901,0.09117161
2.795183,1.940379,1.940379351,3.205376227,0.1683555,0.1683555,0.1377616,0.1568501,0.1636928,0.3490167,0.3716292,0.1126008,0.09143027,0.2040901,0.09117161
2.795528,1.962667,1.962667507,3.354385195,0.1683555,0.1683555,0.1377616,0.1577484,0.1674544,0.3490167,0.3716292,0.1126008,0.09143027,0.2040901,0.09117161
2.795748,1.962667,1.962667507,3.354385195,0.1683555,0.1683555,0.1377616,0.1577484,0.1674544,0.3496877,0.3708779,0.1126008,0.09143027,0.2040901,0.09117161
2.795961,1.996827,1.996826993,3.321867376,0.1683555,0.1683555,0.1377616,0.1577484,0.1674544,0.3496877,0.3708779,0.1116335,0.09187669,0.2040901,0.09117161
2.796175,1.996827,1.996826993,3.321867376,0.1683555,0.1683555,0.1377616,0.1577484,0.1674544,0.3496877,0.3708779,0.1116335,0.09187669,0.1949262,0.09327063
2.94016,1.996827,1.996826993,3.321867376,0.1662919,0.1662919,0.1371477,0.1577484,0.1674544,0.3496877,0.3708779,0.1116335,0.09187669,0.1949262,0.09327063
2.940433,2.016772,2.016772175,3.250881977,0.1662919,0.1662919,0.1371477,0.1585342,0.1656555,0.3496877,0.3708779,0.1116335,0.09187669,0.1949262,0.09327063
2.94068,2.016772,2.016772175,3.250881977,0.1662919,0.1662919,0.1371477,0.1585342,0.1656555,0.3504752,0.3691505,0.1116335,0.09187669,0.1949262,0.09327063
2.9409,2.050423,2.050423236,3.025214534,0.1662919,0.1662919,0.1371477,0.1585342,0.1656555,0.3504752,0.3691505,0.1107137,0.09524185,0.1949262,0.09327063
2.941105,2.050423,2.050423236,3.025214534,0.1662919,0.1662919,0.1371477,0.1585342,0.1656555,0.3504752,0.3691505,0.1107137,0.09524185,0.1857465,0.09322675
3.042152,2.050423,2.050423236,3.025214534,0.1641832,0.1641832,0.1371477,0.1585342,0.1656555,0.3504752,0.3691505,0.1107137,0.09524185,0.1857465,0.09322675
3.042451,2.070491,2.070490944,3.025214534,0.1641832,0.1641832,0.1371477,0.1593082,0.1656555,0.3504752,0.3691505,0.1107137,0.09524185,0.1857465,0.09322675
3.042688,2.070491,2.070490944,3.025214534,0.1641832,0.1641832,0.1371477,0.1593082,0.1656555,0.3513489,0.3691505,0.1107137,0.09524185,0.1857465,0.09322675
3.042912,2.107309,2.107308796,3.025214534,0.1641832,0.1641832,0.1371477,0.1593082,0.1656555,0.3513489,0.3691505,0.1097423,0.09524185,0.1857465,0.09322675
3.043119,2.107309,2.107308796,3.025214534,0.1641832,0.1641832,0.1371477,0.1593082,0.1656555,0.3513489,0.3691505,0.1097423,0.09524185,0.1765545,0.09322675
3.125254,2.107309,2.107308796,3.025214534,0.1618834,0.1618834,0.1371477,0.1593082,0.1656555,0.3513489,0.3691505,0.1097423,0.09524185,0.1765545,0.09322675
3.125524,2.127511,2.127510767,3.025214534,0.1618834,0.1618834,0.1371477,0.1600699,0.1656555,0.3513489,0.3691505,0.1097423,0.09524185,0.1765545,0.09322675
