Time,Focus,FocusReal,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal,
309.7159,0.1040727,0.104072679,0.102053848,0.3832092,0.3832092,0.3632544,0.043387,0.04403447,0.3160674,0.3264107,0.1344904,0.1378409,0.232294,0.2320132
309.7161,0.1032372,0.103237251,0.102053848,0.3832092,0.3832092,0.3632544,0.043387,0.04403447,0.3160674,0.3264107,0.1350335,0.1378409,0.232294,0.2320132
309.7163,0.1032372,0.103237251,0.102053848,0.3832092,0.3832092,0.3632544,0.043387,0.04403447,0.3160674,0.3264107,0.1350335,0.1378409,0.2322473,0.2320132
309.8156,0.1032372,0.103237251,0.102053848,0.3800017,0.3800017,0.3632544,0.043387,0.04403447,0.3160674,0.3264107,0.1350335,0.1378409,0.2322473,0.2320132
309.8159,0.103491,0.10349101,0.102053848,0.3800017,0.3800017,0.3632544,0.04344029,0.04403447,0.3160674,0.3264107,0.1350335,0.1378409,0.2322473,0.2320132
309.8161,0.103491,0.10349101,0.102053848,0.3800017,0.3800017,0.3632544,0.04344029,0.04403447,0.3178592,0.3264107,0.1350335,0.1378409,0.2322473,0.2320132
309.8163,0.1027047,0.102704679,0.102053848,0.3800017,0.3800017,0.3632544,0.04344029,0.04403447,0.3178592,0.3264107,0.1355494,0.1378409,0.2322473,0.2320132
309.8166,0.1027047,0.102704679,0.102053848,0.3800017,0.3800017,0.3632544,0.04344029,0.04403447,0.3178592,0.3264107,0.1355494,0.1378409,0.2322142,0.2320132
309.9156,0.1027047,0.102704679,0.102053848,0.3773857,0.3773857,0.3632544,0.04344029,0.04403447,0.3178592,0.3264107,0.1355494,0.1378409,0.2322142,0.2320132
309.9158,0.1029525,0.102952516,0.102053848,0.3773857,0.3773857,0.3632544,0.04349267,0.04403447,0.3178592,0.3264107,0.1355494,0.1378409,0.2322142,0.2320132
309.9161,0.1029525,0.102952516,0.102053848,0.3773857,0.3773857,0.3632544,0.04349267,0.04403447,0.3192782,0.3264107,0.1355494,0.1378409,0.2322142,0.2320132
309.9163,0.1022596,0.102259608,0.102053848,0.3773857,0.3773857,0.3632544,0.04349267,0.04403447,0.3192782,0.3264107,0.1360079,0.1378409,0.2322142,0.2320132
309.9165,0.1022596,0.102259608,0.102053848,0.3773857,0.3773857,0.3632544,0.04349267,0.04403447,0.3192782,0.3264107,0.1360079,0.1378409,0.232188,0.2320132
310.0829,0.1022596,0.102259608,0.102053848,0.3749642,0.3749642,0.3632544,0.04349267,0.04403447,0.3192782,0.3264107,0.1360079,0.1378409,0.232188,0.2320132
310.0832,0.1024406,0.102440594,0.102053848,0.3749642,0.3749642,0.3632544,0.04353115,0.04403447,0.3192782,0.3264107,0.1360079,0.1378409,0.232188,0.2320132
310.0834,0.1024406,0.102440594,0.102053848,0.3749642,0.3749642,0.3632544,0.04353115,0.04403447,0.3205772,0.3264107,0.1360079,0.1378409,0.232188,0.2320132
310.0836,0.1017755,0.101775469,0.102053848,0.3749642,0.3749642,0.3632544,0.04353115,0.04403447,0.3205772,0.3264107,0.1364516,0.1378409,0.232188,0.2320132
310.0838,0.1017755,0.101775469,0.102053848,0.3749642,0.3749642,0.3632544,0.04353115,0.04403447,0.3205772,0.3264107,0.1364516,0.1378409,0.2321652,0.2320132
310.1691,0.1017755,0.101775469,0.102053848,0.3725315,0.3725315,0.3632544,0.04353115,0.04403447,0.3205772,0.3264107,0.1364516,0.1378409,0.2321652,0.2320132
310.1694,0.1019105,0.101910479,0.102053848,0.3725315,0.3725315,0.3632544,0.04356001,0.04403447,0.3205772,0.3264107,0.1364516,0.1378409,0.2321652,0.2320132
310.1697,0.1019105,0.101910479,0.102053848,0.3725315,0.3725315,0.3632544,0.04356001,0.04403447,0.3218876,0.3264107,0.1364516,0.1378409,0.2321652,0.2320132
310.1699,0.1013001,0.101300088,0.102053848,0.3725315,0.3725315,0.3632544,0.04356001,0.04403447,0.3218876,0.3264107,0.1368621,0.1378409,0.2321652,0.2320132
310.1701,0.1013001,0.101300088,0.102053848,0.3725315,0.3725315,0.3632544,0.04356001,0.04403447,0.3218876,0.3264107,0.1368621,0.1378409,0.2321438,0.2320132
310.2501,0.1013001,0.101300088,0.102053848,0.3701381,0.3701381,0.3632544,0.04356001,0.04403447,0.3218876,0.3264107,0.1368621,0.1378409,0.2321438,0.2320132
310.2504,0.1014014,0.101401421,0.102053848,0.3701381,0.3701381,0.3632544,0.04358179,0.04403447,0.3218876,0.3264107,0.1368621,0.1378409,0.2321438,0.2320132
