Time,Focus,FocusReal,Fcous Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.955163,1.202732,1.202731565,0.709127995,0.2650371,0.2650371,0.3118719,0.1463468,0.1514378,0.3062277,0.2597125,0.133444,0.179834,0.1028215,0.0720285
0.955377,1.202732,1.202731565,0.709127995,0.2650371,0.2650371,0.3118719,0.1463468,0.1514378,0.3062277,0.2597125,0.133444,0.179834,0.09870188,0.09025711
1.087128,1.202732,1.202731565,0.709127995,0.2711281,0.2711281,0.3236257,0.1463468,0.1514378,0.3062277,0.2597125,0.133444,0.179834,0.09870188,0.09025711
1.087427,1.218018,1.218017924,0.718199045,0.2711281,0.2711281,0.3236257,0.1472739,0.1524033,0.3062277,0.2597125,0.133444,0.179834,0.09870188,0.09025711
1.087683,1.218018,1.218017924,0.718199045,0.2711281,0.2711281,0.3236257,0.1472739,0.1524033,0.3009151,0.2488867,0.133444,0.179834,0.09870188,0.09025711
1.0879,1.166484,1.166483484,0.726846334,0.2711281,0.2711281,0.3236257,0.1472739,0.1524033,0.3009151,0.2488867,0.1363598,0.1787611,0.09870188,0.09025711
1.088112,1.166484,1.166483484,0.726846334,0.2711281,0.2711281,0.3236257,0.1472739,0.1524033,0.3009151,0.2488867,0.1363598,0.1787611,0.09532254,0.09956571
1.15394,1.166484,1.166483484,0.726846334,0.2765783,0.2765783,0.3317637,0.1472739,0.1524033,0.3009151,0.2488867,0.1363598,0.1787611,0.09532254,0.09956571
1.154189,1.195891,1.195891338,0.722429991,0.2765783,0.2765783,0.3317637,0.1491188,0.1519396,0.3009151,0.2488867,0.1363598,0.1787611,0.09532254,0.09956571
1.154411,1.195891,1.195891338,0.722429991,0.2765783,0.2765783,0.3317637,0.1491188,0.1519396,0.2948339,0.2419481,0.1363598,0.1787611,0.09532254,0.09956571
1.154707,1.135586,1.135586222,0.729151837,0.2765783,0.2765783,0.3317637,0.1491188,0.1519396,0.2948339,0.2419481,0.1399337,0.1779352,0.09532254,0.09956571
1.154934,1.135586,1.135586222,0.729151837,0.2765783,0.2765783,0.3317637,0.1491188,0.1519396,0.2948339,0.2419481,0.1399337,0.1779352,0.09267777,0.1114091
1.237741,1.135586,1.135586222,0.729151837,0.2812867,0.2812867,0.328927,0.1491188,0.1519396,0.2948339,0.2419481,0.1399337,0.1779352,0.09267777,0.1114091
1.237985,1.157473,1.157473272,0.729646342,0.2812867,0.2812867,0.328927,0.150549,0.1519911,0.2948339,0.2419481,0.1399337,0.1779352,0.09267777,0.1114091
1.2382,1.157473,1.157473272,0.729646342,0.2812867,0.2812867,0.328927,0.150549,0.1519911,0.2894373,0.242788,0.1399337,0.1779352,0.09267777,0.1114091
1.23841,1.096627,1.096626957,0.718354835,0.2812867,0.2812867,0.328927,0.150549,0.1519911,0.2894373,0.242788,0.1437634,0.1793282,0.09267777,0.1114091
