Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
1.293906,2.793265,2.793265124,2.037276024,0.2322965,0.2322965,0.2455036,0.2757992,0.307071,0.1729394,0.1690782,0.1650201,0.2151364,0.1908342,0.127689
1.294518,2.793265,2.793265124,2.037276024,0.2322965,0.2322965,0.2455036,0.2757992,0.307071,0.1729394,0.1690782,0.1650201,0.2151364,0.1873582,0.1077683
1.382901,2.793265,2.793265124,2.037276024,0.2313473,0.2313473,0.2527177,0.2757992,0.307071,0.1729394,0.1690782,0.1650201,0.2151364,0.1873582,0.1077683
1.38346,2.949836,2.949836556,1.932752382,0.2313473,0.2313473,0.2527177,0.2834235,0.29909,0.1729394,0.1690782,0.1650201,0.2151364,0.1873582,0.1077683
1.383931,2.949836,2.949836556,1.932752382,0.2313473,0.2313473,0.2527177,0.2834235,0.29909,0.1667681,0.1747221,0.1650201,0.2151364,0.1873582,0.1077683
1.384415,2.80187,2.801870461,1.932660818,0.2313473,0.2313473,0.2527177,0.2834235,0.29909,0.1667681,0.1747221,0.1693214,0.2151415,0.1873582,0.1077683
1.38485,2.80187,2.801870461,1.932660818,0.2313473,0.2313473,0.2527177,0.2834235,0.29909,0.1667681,0.1747221,0.1693214,0.2151415,0.1833795,0.0971084
1.487234,2.80187,2.801870461,1.932660818,0.2309277,0.2309277,0.2600067,0.2834235,0.29909,0.1667681,0.1747221,0.1693214,0.2151415,0.1833795,0.0971084
1.488257,2.919806,2.919805639,1.828755974,0.2309277,0.2309277,0.2600067,0.2893269,0.290939,0.1667681,0.1747221,0.1693214,0.2151415,0.1833795,0.0971084
1.489306,2.919806,2.919805639,1.828755974,0.2309277,0.2309277,0.2600067,0.2893269,0.290939,0.162182,0.1780143,0.1693214,0.2151415,0.1833795,0.0971084
1.490543,2.77396,2.773959635,1.924806922,0.2309277,0.2309277,0.2600067,0.2893269,0.290939,0.162182,0.1780143,0.1737156,0.2097048,0.1833795,0.0971084
1.491494,2.77396,2.773959635,1.924806922,0.2309277,0.2309277,0.2600067,0.2893269,0.290939,0.162182,0.1780143,0.1737156,0.2097048,0.1780006,0.09370199
1.56831,2.77396,2.773959635,1.924806922,0.2311482,0.2311482,0.2712837,0.2893269,0.290939,0.162182,0.1780143,0.1737156,0.2097048,0.1780006,0.09370199
1.56897,2.851215,2.85121537,1.82277471,0.2311482,0.2311482,0.2712837,0.2933282,0.2831228,0.162182,0.1780143,0.1737156,0.2097048,0.1780006,0.09370199
1.569521,2.851215,2.85121537,1.82277471,0.2311482,0.2311482,0.2712837,0.2933282,0.2831228,0.1595176,0.1804345,0.1737156,0.2097048,0.1780006,0.09370199
1.570166,2.716358,2.716358449,1.983873952,0.2311482,0.2311482,0.2712837,0.2933282,0.2831228,0.1595176,0.1804345,0.1779755,0.2010101,0.1780006,0.09370199
1.570697,2.716358,2.716358449,1.983873952,0.2311482,0.2311482,0.2712837,0.2933282,0.2831228,0.1595176,0.1804345,0.1779755,0.2010101,0.1715157,0.08060463
1.678833,2.716358,2.716358449,1.983873952,0.2317879,0.2317879,0.2772092,0.2933282,0.2831228,0.1595176,0.1804345,0.1779755,0.2010101,0.1715157,0.08060463
1.67914,2.770909,2.77090897,2.10225825,0.2317879,0.2317879,0.2772092,0.2962589,0.2914479,0.1595176,0.1804345,0.1779755,0.2010101,0.1715157,0.08060463
1.679411,2.770909,2.77090897,2.10225825,0.2317879,0.2317879,0.2772092,0.2962589,0.2914479,0.1583502,0.1750527,0.1779755,0.2010101,0.1715157,0.08060463
1.679824,2.643273,2.64327328,2.124355925,0.2317879,0.2317879,0.2772092,0.2962589,0.2914479,0.1583502,0.1750527,0.1822218,0.1999619,0.1715157,0.08060463
1.680145,2.643273,2.64327328,2.124355925,0.2317879,0.2317879,0.2772092,0.2962589,0.2914479,0.1583502,0.1750527,0.1822218,0.1999619,0.1645164,0.08756926
1.789077,2.643273,2.64327328,2.124355925,0.2323855,0.2323855,0.268925,0.2962589,0.2914479,0.1583502,0.1750527,0.1822218,0.1999619,0.1645164,0.08756926
1.790331,2.68632,2.686320019,2.276624711,0.2323855,0.2323855,0.268925,0.2986615,0.3017123,0.1583502,0.1750527,0.1822218,0.1999619,0.1645164,0.08756926
1.791354,2.68632,2.686320019,2.276624711,0.2323855,0.2323855,0.268925,0.2986615,0.3017123,0.1584211,0.1784071,0.1822218,0.1999619,0.1645164,0.08756926
1.792293,2.575263,2.575263172,2.317045886,0.2323855,0.2323855,0.268925,0.2986615,0.3017123,0.1584211,0.1784071,0.1861095,0.19821,0.1645164,0.08756926
1.79322,2.575263,2.575263172,2.317045886,0.2323855,0.2323855,0.268925,0.2986615,0.3017123,0.1584211,0.1784071,0.1861095,0.19821,0.1571846,0.08929249
1.885577,2.575263,2.575263172,2.317045886,0.232735,0.232735,0.255158,0.2986615,0.3017123,0.1584211,0.1784071,0.1861095,0.19821,0.1571846,0.08929249
